RptDt;TckrSymb;ISIN;Asst;BalQty;TradAvrgPric;PricFctr;BalVal
2023-05-03;ATMP3;BRATMPACNOR8;ATMP;4464;1,1606563;1;5181,17
2023-05-03;ATOM3;BRATOMACNOR1;ATOM;10994;2,9688539;1;32639,58
2023-05-03;ATTB34;BRATTBBDR007;ATTB;83;33,1;1;2747,3
2023-05-03;AURA33;BRAURABDR001;AURA;637884;38,471659;1;24540455,77
2023-05-03;AURE3;BRAUREACNOR9;AURE;9345360;15,1399602;1;141488378,84
2023-05-03;AVGO34;BRAVGOBDR003;AVGO;718;45,3257103;1;32543,86
2023-05-03;AVLL3;BRAVLLACNOR5;AVLL;12;2,8625;1;34,35
2023-05-03;AXPB34;BRAXPBBDR007;AXPB;3;80,37;1;241,11
2023-05-03;AZEV3;BRAZEVACNOR0;AZEV;3887;1,3328222;1;5180,68
2023-05-03;AZEV4;BRAZEVACNPR7;AZEV;1111058;1,2280935;1;1364483,17
2023-05-03;AZUL4;BRAZULACNPR4;AZUL;17224639;10,9379608;1;188402427,39
2023-05-03;B1IL34;BRB1ILBDR002;B1IL;720;23,375;1;16830
2023-05-03;B1NT34;BRB1NTBDR005;B1NT;7334;40,1022947;1;294110,23
2023-05-03;B1SA34;BRB1SABDR004;B1SA;14;47,27;1;661,78
2023-05-03;B2YN34;BRB2YNBDR003;B2YN;957;3,9298537;1;3760,87
2023-05-03;B3SA3;BRB3SAACNOR6;B3SA;190888222;11,4706811;1;2189617929,46
2023-05-03;BAAX39;BRBAAXBDR009;BAAX;33576;34,0946428;1;1144761,73
2023-05-03;BABA34;BRBABABDR005;BABA;948726;16,9511412;1;16081988,39
2023-05-03;BACW39;BRBACWBDR007;BACW;46269;45,9038998;1;2123927,54
2023-05-03;BAHI3;BRBAHIACNOR1;BAHI;149;10,5962416;1;1578,84
2023-05-03;BARI11;BRBARICTF003;BARI;14462;77,6100691;1;1122396,82
2023-05-03;BAZA3;BRBAZAACNOR0;BAZA;81;68,02;1;5509,62
2023-05-03;BBAS3;BRBBASACNOR3;BBAS;99362274;42,2966259;1;4202688932,22
2023-05-03;BBDC3;BRBBDCACNOR1;BBDC;36810613;12,0484596;1;443511185,3
2023-05-03;BBDC4;BRBBDCACNPR8;BBDC;244191878;13,501849;1;3297041885,13
2023-05-03;BBOI11;BRBBOICTF008;BBOI;8;8,49;1;67,92
2023-05-03;BBOV11;BRBBOVCTF001;BBOV;6914;53,5485536;1;370234,7
2023-05-03;BBPO11;BRBBPOCTF003;BBPO;677;85,8432496;1;58115,88
2023-05-03;BBSD11;BRBBSDCTF000;BBSD;3;82,67;1;248,01
2023-05-03;BBSE3;BRBBSEACNOR5;BBSE;17739206;34,2780803;1;608065928,69
2023-05-03;BBUG39;BRBBUGBDR000;BBUG;14;36,8335714;1;515,67
2023-05-03;BBYY34;BRBBYYBDR005;BBYY;1;370;1;370
2023-05-03;BCFF11;BRBCFFCTF000;BCFF;8955;65,389254;1;585560,77
2023-05-03;BCHI39;BRBCHIBDR001;BCHI;125268;30,763408;1;3853670,6
2023-05-03;BCHQ39;BRBCHQBDR004;BCHQ;11;23,4536363;1;257,99
2023-05-03;BCIA11;BRBCIACTF005;BCIA;1054;84,5080929;1;89071,53
2023-05-03;BCLO39;BRBCLOBDR001;BCLO;3;27,92;1;83,76
2023-05-03;BCRI11;BRBCRICTF009;BCRI;217;69,9564516;1;15180,55
2023-05-03;BCSA34;BRBCSABDR005;BCSA;663;17,363107;1;11511,74
2023-05-03;BDEF11;BRBDEFCTF001;BDEF;50;95,55;1;4777,5
2023-05-03;BDOM11;BRBDOMCTF006;BDOM;306;84,8697385;1;25970,14
2023-05-03;BDVD39;BRBDVDBDR001;BDVD;3;43,31;1;129,93
2023-05-03;BDVY39;BRBDVYBDR007;BDVY;60;59,53;1;3571,8
2023-05-03;BEEF3;BRBEEFACNOR6;BEEF;24485926;9,4308612;1;230923370,52
2023-05-03;BEEM39;BRBEEMBDR006;BEEM;33369;33,2481842;1;1109458,66
2023-05-03;BEES3;BRBEESACNOR9;BEES;1046;6,844694;1;7159,55
2023-05-03;BEES4;BRBEESACNPR6;BEES;609;7,7303119;1;4707,76
2023-05-03;BEFA39;BRBEFABDR008;BEFA;10;46,226;1;462,26
2023-05-03;BERK34;BRBERKBDR002;BERK;341094;80,2095245;1;27358987,55
2023-05-03;BEWA39;BRBEWABDR003;BEWA;10;38,63;1;386,3
2023-05-03;BEWG39;BRBEWGBDR000;BEWG;5;48,87;1;244,35
2023-05-03;BEWJ39;BRBEWJBDR004;BEWJ;4614;36,6360359;1;169038,67
2023-05-03;BEWQ39;BRBEWQBDR009;BEWQ;40000;49,9;1;1996000
2023-05-03;BEWU39;BRBEWUBDR001;BEWU;15;56,98;1;854,7
2023-05-03;BEWY39;BRBEWYBDR003;BEWY;72;38,7408333;1;2789,34
2023-05-03;BEWZ39;BRBEWZBDR000;BEWZ;736;47,8623233;1;35226,67
2023-05-03;BFNX39;BRBFNXBDR001;BFNX;18;20,6255555;1;371,26
2023-05-03;BGIP3;BRBGIPACNOR1;BGIP;220;32,19;1;7081,8
2023-05-03;BGIP4;BRBGIPACNPR8;BGIP;20;17,921;1;358,42
2023-05-03;BIAU39;BRBIAUBDR008;BIAU;2192;47,7637956;1;104698,24
2023-05-03;BIEM39;BRBIEMBDR007;BIEM;32010;40,5362161;1;1297564,28
2023-05-03;BIEU39;BRBIEUBDR000;BIEU;6560;44,6466158;1;292881,8
2023-05-03;BIOM3;BRBIOMACNOR2;BIOM;7502;3,7849613;1;28394,78
2023-05-03;BITH11;BRBITHCTF004;BITH;84738;34,4483105;1;2919080,94
2023-05-03;BITI11;BRBITICTF010;BITI;7607;43,0019192;1;327115,6
2023-05-03;BITO39;BRBITOBDR001;BITO;13155;45,9141383;1;604000,49
2023-05-03;BIVB39;BRBIVBBDR004;BIVB;90300;51,8736008;1;4684186,16
2023-05-03;BIWM39;BRBIWMBDR009;BIWM;100;43,26;1;4326
2023-05-03;BIYE39;BRBIYEBDR002;BIYE;9857;73,9513279;1;728938,24
2023-05-03;BIYF39;BRBIYFBDR009;BIYF;305;23,8801311;1;7283,44
2023-05-03;BKNG34;BRBKNGBDR006;BKNG;861;73,8066085;1;63547,49
2023-05-03;BLAK34;BRBLAKBDR003;BLAK;19335;50,9881887;1;985856,63
2023-05-03;BLAU3;BRBLAUACNOR8;BLAU;1060583;21,4101014;1;22707189,61
2023-05-03;BLBT39;BRBLBTBDR002;BLBT;831;38,4941516;1;31988,64
2023-05-03;BLMG11;BRBLMGCTF005;BLMG;10450;65,7729655;1;687327,49
2023-05-03;BLMR11;BRBLMRCTF002;BLMR;14;6,2678571;1;87,75
2023-05-03;BMEB3;BRBMEBACNOR8;BMEB;332;10,6846987;1;3547,32
2023-05-03;BMEB4;BRBMEBACNPR5;BMEB;141;10,0536879;1;1417,57
2023-05-03;BMGB4;BRBMGBACNPR0;BMGB;1348359;2,0309014;1;2738384,31
2023-05-03;BMKS3;BRBMKSACNOR9;BMKS;1;383,29;1;383,29
2023-05-03;BMOB3;BRBMOBACNOR7;BMOB;602481;13,826969;1;8330486,16
2023-05-03;BNBR3;BRBNBRACNOR8;BNBR;78;77,1346153;1;6016,5
2023-05-03;BNDA39;BRBNDABDR004;BNDA;5304;50,5408578;1;268068,71
2023-05-03;BOAC34;BRBOACBDR004;BOAC;3054;36,6507072;1;111931,26
2023-05-03;BOAS3;BRBOASACNOR6;BOAS;2520863;7,5377877;1;19001730,18
2023-05-03;BOBR4;BRBOBRACNPR3;BOBR;26640;1,4549647;1;38760,26
